released_year,certificate,runtime,genre,imdb_rating,meta_score,director,star1,star2,star3,star4,no_of_votes,gross,gross_per_vote
2001,3,98,"['comedy', 'drama', 'war']",7.9,84.0,1,1,1,1,1,44618,1059830.0,23.75341790308844
2001,0,115,"['animation', 'action', 'crime']",7.9,61.0,1,1,1,1,1,42897,1000045.0,23.31270251998974
2002,1,119,"['action', 'mystery', 'thriller']",7.9,68.0,2,2,2,2,2,508771,121661683.0,239.12857257980505
2000,3,114,"['crime', 'drama', 'thriller']",7.9,80.0,1,2,1,1,1,49721,1221261.0,24.562277508497417
2006,3,109,"['adventure', 'drama', 'sci-fi']",7.9,84.0,3,1,2,2,2,465113,35552383.0,76.4381623390445
2000,3,122,"['adventure', 'comedy', 'drama']",7.9,90.0,1,1,1,1,1,252586,32534850.0,128.80702018322472
2001,3,147,"['drama', 'mystery', 'thriller']",7.9,85.0,2,2,1,1,1,322031,7220243.0,22.420956367554677
1999,0,92,"['animation', 'adventure', 'comedy']",7.9,88.0,2,1,2,1,1,527512,245852179.0,466.0598792065394
1997,3,155,['drama'],7.9,85.0,2,2,2,1,1,239473,26400640.0,110.24474575421864
1995,0,111,"['animation', 'drama', 'family']",7.9,75.0,1,1,1,1,1,51943,23457439.5,451.5996284388657
1994,3,102,"['crime', 'drama']",7.9,77.0,1,1,1,1,1,31590,2201126.0,69.67793605571383
1993,3,119,"['crime', 'drama', 'romance']",7.9,59.0,2,1,2,2,1,206918,12281500.0,59.35443025739665
1993,0,94,"['drama', 'music', 'mystery']",7.9,85.0,2,1,1,1,1,89836,1324974.0,14.748808940736453
1993,3,94,"['animation', 'action', 'adventure']",7.9,79.0,2,1,1,1,1,34529,23457439.5,679.3547308059892
1993,3,144,"['crime', 'drama', 'thriller']",7.9,65.0,2,3,2,1,1,201000,36948322.0,183.82249751243782
1990,0,105,"['drama', 'fantasy', 'romance']",7.9,74.0,2,3,1,1,1,447368,56362352.0,125.98655245793172
1989,0,103,"['biography', 'drama']",7.9,97.0,2,2,1,1,1,68076,14743391.0,216.57252188730243
1989,2,104,"['comedy', 'drama']",7.9,77.0,3,1,1,1,1,54670,18254702.0,333.90711541979147
1987,3,119,"['crime', 'drama', 'thriller']",7.9,79.0,2,2,2,2,1,281842,76270454.0,270.6142235720723
1986,2,107,"['comedy', 'drama']",7.9,90.0,3,2,1,1,1,67176,40084041.0,596.7018131475527
1985,0,132,"['drama', 'sci-fi']",7.9,84.0,2,1,1,2,1,187567,9929135.0,52.93647070113613
1984,3,82,"['comedy', 'music']",7.9,92.0,3,1,1,1,1,128812,188751.0,1.4653215538924944
1983,0,93,"['comedy', 'family']",7.9,77.0,1,1,1,1,1,132947,20605209.0,154.98814565202676
1980,0,133,"['action', 'adventure', 'comedy']",7.9,60.0,1,1,2,1,1,183182,57229890.0,312.42092563679836
1979,3,96,"['comedy', 'drama', 'romance']",7.9,83.0,3,2,2,1,1,131436,45700000.0,347.6977388234578
1979,3,123,"['drama', 'music', 'musical']",7.9,72.0,2,2,1,1,1,28223,37823676.0,1340.172058250363
1978,3,127,"['action', 'adventure', 'horror']",7.9,71.0,2,1,1,1,1,111512,5100000.0,45.734988162708945
1976,0,138,"['biography', 'drama', 'history']",7.9,84.0,1,2,2,2,1,103031,70600000.0,685.2306587337791
1973,3,114,"['adventure', 'drama', 'fantasy']",7.9,76.0,1,1,1,1,1,37183,61001.0,1.6405615469434958
1973,3,123,"['comedy', 'drama', 'family']",7.9,79.0,2,1,1,1,1,39897,23457439.5,587.949958643507
1972,1,102,['comedy'],7.9,93.0,2,1,1,1,1,38737,198809.0,5.132276634741978
1972,-1,95,"['action', 'adventure', 'biography']",7.9,79.0,2,2,1,1,1,52397,23457439.5,447.6866900776762
1971,1,91,"['comedy', 'drama', 'romance']",7.9,62.0,2,1,1,1,1,70826,23457439.5,331.1981405133708
1970,0,172,"['biography', 'drama', 'war']",7.9,91.0,2,1,2,1,1,93741,61700000.0,658.1965201992724
