released_year,certificate,runtime,genre,imdb_rating,meta_score,director,star1,star2,star3,star4,no_of_votes,gross,gross_per_vote
2003,unrated,110,['drama'],8.0,82.0,few_movies,one_movie,one_movie,one_movie,one_movie,42399,502028.0,11.840562277412204
2003,adults,103,"['drama', 'romance']",8.0,85.0,few_movies,one_movie,one_movie,one_movie,one_movie,77520,2380788.0,30.711919504643962
2014,all_ages,126,"['biography', 'drama']",8.0,74.0,few_movies,one_movie,one_movie,one_movie,one_movie,77554,2086345.0,26.901836139979885
2005,watch_with_parents,144,"['biography', 'drama', 'history']",8.0,69.0,few_movies,few_movies,one_movie,one_movie,one_movie,176151,61649911.0,349.98331545094834
2003,all_ages,186,"['comedy', 'drama', 'musical']",8.0,54.0,one_movie,one_movie,one_movie,one_movie,one_movie,63460,1787378.0,28.16542704065553
2002,watch_with_parents,101,"['action', 'crime', 'drama']",8.0,75.0,one_movie,one_movie,one_movie,few_movies,one_movie,117857,169659.0,1.4395326539789746
2003,watch_with_parents,143,"['action', 'adventure', 'fantasy']",8.0,63.0,one_movie,multiple_movies,few_movies,few_movies,one_movie,1015122,305413918.0,300.86424882920477
2003,all_ages,125,"['adventure', 'drama', 'fantasy']",8.0,58.0,few_movies,few_movies,one_movie,one_movie,one_movie,415218,66257002.0,159.57160335052913
2004,all_ages,115,"['animation', 'action', 'adventure']",8.0,90.0,few_movies,few_movies,one_movie,one_movie,one_movie,657047,261441092.0,397.9031819641517
2001,unrated,137,"['comedy', 'drama', 'romance']",8.0,79.0,one_movie,one_movie,one_movie,one_movie,one_movie,45403,23457439.5,516.6495495892342
2003,adults,178,"['crime', 'drama']",8.0,60.0,few_movies,few_movies,one_movie,few_movies,one_movie,137963,1530386.0,11.09272776034154
2001,unrated,110,"['comedy', 'drama']",8.0,79.0,one_movie,one_movie,few_movies,few_movies,one_movie,33592,23457439.5,698.3043432960228
2001,adults,113,"['drama', 'mystery', 'sci-fi']",8.0,88.0,one_movie,multiple_movies,one_movie,one_movie,one_movie,740086,1480006.0,1.9997757017427704
1999,adults,188,['drama'],8.0,77.0,few_movies,multiple_movies,one_movie,one_movie,few_movies,289742,22455976.0,77.50335125732548
2000,all_ages,140,"['crime', 'drama', 'musical']",8.0,61.0,few_movies,one_movie,one_movie,few_movies,one_movie,102285,4184036.0,40.90566554235714
1999,all_ages,112,"['biography', 'drama']",8.0,86.0,few_movies,one_movie,few_movies,one_movie,one_movie,82002,6203044.0,75.64503304797444
1997,adults,81,"['animation', 'crime', 'mystery']",8.0,79.0,few_movies,one_movie,one_movie,one_movie,one_movie,58192,776665.0,13.34659403354413
1998,adults,105,['drama'],8.0,82.0,few_movies,few_movies,one_movie,one_movie,few_movies,78341,1647780.0,21.03343077060543
1998,adults,110,['drama'],8.0,80.0,few_movies,one_movie,one_movie,one_movie,one_movie,36419,5595428.0,153.6403525632225
1999,watch_with_parents,86,"['animation', 'action', 'adventure']",8.0,85.0,few_movies,one_movie,one_movie,one_movie,few_movies,172083,23159305.0,134.58217836741574
1997,unrated,87,"['action', 'crime', 'comedy']",8.0,79.0,one_movie,one_movie,one_movie,one_movie,one_movie,27721,3296.0,0.1188990296165362
1996,adults,135,['drama'],8.0,84.0,one_movie,one_movie,one_movie,one_movie,one_movie,86838,24475416.0,281.8514475229738
1996,all_ages,136,"['comedy', 'drama']",8.0,91.0,few_movies,one_movie,one_movie,one_movie,one_movie,37564,13417292.0,357.18485784261526
1995,adults,129,"['mystery', 'sci-fi', 'thriller']",8.0,74.0,few_movies,few_movies,few_movies,few_movies,one_movie,578443,57141459.0,98.78494337385014
1995,watch_with_parents,83,"['animation', 'action', 'crime']",8.0,76.0,one_movie,one_movie,one_movie,one_movie,one_movie,129231,515905.0,3.9921148950329255
1993,all_ages,76,"['animation', 'family', 'fantasy']",8.0,82.0,few_movies,one_movie,one_movie,one_movie,one_movie,300208,75082668.0,250.10215583861856
1993,all_ages,101,"['comedy', 'fantasy', 'romance']",8.0,72.0,one_movie,few_movies,one_movie,one_movie,one_movie,577991,70906973.0,122.67833409170731
1993,adults,180,"['crime', 'drama']",8.0,47.0,few_movies,one_movie,one_movie,one_movie,one_movie,28825,4496583.0,155.99594102341717
1992,watch_with_parents,156,['drama'],8.0,59.0,one_movie,multiple_movies,one_movie,one_movie,one_movie,263918,63895607.0,242.10401336778847
1992,all_ages,90,"['animation', 'adventure', 'comedy']",8.0,86.0,few_movies,few_movies,one_movie,one_movie,one_movie,373845,217350219.0,581.3912691088552
1991,watch_with_parents,189,"['drama', 'history', 'thriller']",8.0,72.0,few_movies,few_movies,few_movies,few_movies,one_movie,142110,70405498.0,495.42958271761313
1991,all_ages,84,"['animation', 'family', 'fantasy']",8.0,95.0,one_movie,one_movie,one_movie,one_movie,one_movie,417178,218967620.0,524.8781575250853
1990,all_ages,181,"['adventure', 'drama', 'western']",8.0,72.0,one_movie,few_movies,one_movie,one_movie,one_movie,240266,184208848.0,766.6871217733678
1989,adults,120,"['comedy', 'drama']",8.0,93.0,few_movies,one_movie,one_movie,one_movie,one_movie,89429,27545445.0,308.014682038265
1988,all_ages,133,['drama'],8.0,65.0,few_movies,few_movies,one_movie,one_movie,one_movie,473064,178800000.0,377.9615443153569
1988,watch_with_parents,124,"['animation', 'action', 'sci-fi']",8.0,79.0,one_movie,one_movie,one_movie,one_movie,one_movie,164918,553171.0,3.354218460083193
1987,all_ages,98,"['adventure', 'family', 'fantasy']",8.0,77.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,393899,30857814.0,78.33940680225133
1987,all_ages,128,"['drama', 'fantasy', 'romance']",8.0,79.0,few_movies,few_movies,one_movie,one_movie,one_movie,64722,3333969.0,51.51214424770557
1987,all_ages,104,"['drama', 'war']",8.0,88.0,one_movie,one_movie,one_movie,one_movie,one_movie,31163,4542825.0,145.7762410550974
1986,all_ages,125,"['animation', 'adventure', 'drama']",8.0,78.0,multiple_movies,one_movie,one_movie,one_movie,one_movie,150140,23457439.5,156.237108698548
1984,watch_with_parents,107,"['action', 'sci-fi']",8.0,84.0,few_movies,few_movies,few_movies,one_movie,one_movie,799795,38400000.0,48.012303152682875
1982,all_ages,191,"['biography', 'drama', 'history']",8.0,79.0,one_movie,one_movie,one_movie,one_movie,one_movie,217664,52767889.0,242.42818748162304
1980,all_ages,180,"['drama', 'history', 'war']",8.0,84.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,32195,23457439.5,728.6050473676037
1979,watch_with_parents,130,"['comedy', 'drama']",8.0,83.0,few_movies,few_movies,few_movies,few_movies,one_movie,65625,30177511.0,459.84778666666665
1977,adults,93,"['comedy', 'romance']",8.0,92.0,multiple_movies,few_movies,few_movies,one_movie,one_movie,251823,39200000.0,155.66489161037714
1975,adults,124,"['adventure', 'thriller']",8.0,87.0,multiple_movies,few_movies,few_movies,one_movie,one_movie,543388,260000000.0,478.47946586969164
1975,all_ages,125,"['biography', 'crime', 'drama']",8.0,86.0,few_movies,multiple_movies,few_movies,one_movie,one_movie,235652,50000000.0,212.17727835961503
1974,adults,106,['comedy'],8.0,80.0,few_movies,few_movies,one_movie,one_movie,one_movie,143359,86300000.0,601.9852259014084
1973,adults,151,"['biography', 'crime', 'drama']",8.0,58.0,few_movies,few_movies,one_movie,one_movie,one_movie,121627,53267000.0,437.9537438233287
1973,adults,122,['horror'],8.0,81.0,few_movies,few_movies,one_movie,one_movie,one_movie,362393,232906145.0,642.6894145306338
1972,watch_with_parents,138,"['mystery', 'thriller']",8.0,79.0,few_movies,few_movies,few_movies,one_movie,one_movie,44748,4081254.0,91.20528291767229
1971,adults,118,"['drama', 'romance']",8.0,93.0,few_movies,one_movie,few_movies,few_movies,one_movie,42456,29133000.0,686.1927642736009
1971,all_ages,181,"['drama', 'family', 'musical']",8.0,67.0,few_movies,one_movie,one_movie,one_movie,one_movie,39491,80500000.0,2038.4391380314503
1970,watch_with_parents,113,['drama'],8.0,100.0,few_movies,few_movies,one_movie,one_movie,one_movie,27067,541940.0,20.022167214689475
1969,watch_with_parents,110,"['biography', 'crime', 'drama']",8.0,66.0,few_movies,few_movies,few_movies,few_movies,one_movie,201888,102308889.0,506.7606247028055
1968,adults,137,"['drama', 'horror']",8.0,96.0,few_movies,few_movies,one_movie,one_movie,one_movie,193674,23457439.5,121.1181650608755
1968,all_ages,112,"['adventure', 'sci-fi']",8.0,79.0,few_movies,few_movies,one_movie,few_movies,one_movie,165167,33395426.0,202.1918785229495
1967,adults,106,"['comedy', 'drama', 'romance']",8.0,83.0,few_movies,few_movies,one_movie,few_movies,one_movie,253676,104945305.0,413.6982016430407
1966,adults,131,['drama'],8.0,75.0,few_movies,few_movies,one_movie,one_movie,one_movie,68926,23457439.5,340.3278806255985
1965,all_ages,172,"['biography', 'drama', 'family']",8.0,63.0,few_movies,few_movies,one_movie,one_movie,one_movie,205425,163214286.0,794.5200730193501
1965,adults,197,"['drama', 'romance', 'war']",8.0,69.0,few_movies,one_movie,few_movies,one_movie,few_movies,69903,111722000.0,1598.2432799736778
1964,adults,99,"['action', 'drama', 'western']",8.0,65.0,multiple_movies,multiple_movies,one_movie,one_movie,one_movie,198219,14500000.0,73.1514133357549
1963,unrated,138,['drama'],8.0,91.0,few_movies,few_movies,one_movie,few_movies,one_movie,108844,50690.0,0.4657123957223182
1962,unrated,80,['drama'],8.0,79.0,few_movies,one_movie,one_movie,one_movie,one_movie,28057,23457439.5,836.0637095911893
1961,adults,134,"['drama', 'sport']",8.0,90.0,one_movie,few_movies,one_movie,one_movie,one_movie,75067,8284000.0,110.35474975688385
1960,adults,174,"['comedy', 'drama']",8.0,95.0,few_movies,few_movies,one_movie,one_movie,few_movies,66621,19516000.0,292.94066435508324
